Title,Price,Time,Min Age,Max Age,Min Players,Max Players,Price Scaled,Time Scaled,Min Age Scaled,Max Age Scaled,Min Players Scaled,Max Players Scaled,average,avg_rating,avgweight,baverage,geek_rating,name,numcomments,numfans,numgeeklists,numhasparts,numowned,numplays,numplays_month,numprevowned,numtrading,numwanting,numwantparts,numweights,numwish,numwishlistcomments,playmonth,rank,stddev,usersrated,views,voters
Pictionary Rules,23,45,12,99,3,99,0.11557788944723618,0.0125,0.625,1.0,0.3333333333333333,1.0,5.81908,5.82,1.254,5.71499,5.715,Pictionary (1985),1419,49.0,558,7,8176,6313,26,735,181,5,5,433,74,13,2017-11,3767,1.57278,5492,399963,5492
Pictionary Rules,23,45,12,99,3,99,0.11557788944723618,0.0125,0.625,1.0,0.3333333333333333,1.0,5.81908,5.82,1.254,5.71499,5.715,Pictionary (1985),1419,49.0,558,7,8176,6313,26,735,181,5,5,433,74,13,2017-11,3767,1.57278,5492,399963,5492
Pictionary Rules,23,45,12,99,3,99,0.11557788944723618,0.0125,0.625,1.0,0.3333333333333333,1.0,5.81908,5.82,1.254,5.71499,5.715,Pictionary (1985),1419,49.0,558,7,8176,6313,26,735,181,5,5,433,74,13,2017-11,3767,1.57278,5492,399963,5492
Elfenland Rules,40,60,10,99,2,6,0.20100502512562812,0.016666666666666666,0.5,1.0,0.16666666666666666,0.060606060606060615,6.7392,6.74,2.1642,6.56728,6.567,Elfenland (1998),1892,84.0,1949,7,8125,10660,46,980,273,175,12,664,676,116,2017-11,764,1.24846,6941,311807,6941
Monopoly Rules,20,60,8,99,2,8,0.10050251256281408,0.016666666666666666,0.375,1.0,0.16666666666666666,0.08080808080808081,4.40734,4.41,1.6816,4.35101,4.351,Monopoly (1933),5111,296.0,3275,33,26097,27675,164,2584,343,13,18,1586,192,34,2017-11,14653,1.82643,20587,744607,20587
Monopoly Rules,20,60,8,99,2,8,0.10050251256281408,0.016666666666666666,0.375,1.0,0.16666666666666666,0.08080808080808081,4.40734,4.41,1.6816,4.35101,4.351,Monopoly (1933),5111,296.0,3275,33,26097,27675,164,2584,343,13,18,1586,192,34,2017-11,14653,1.82643,20587,744607,20587
Monopoly Rules,20,60,8,99,2,8,0.10050251256281408,0.016666666666666666,0.375,1.0,0.16666666666666666,0.08080808080808081,4.40734,4.41,1.6816,4.35101,4.351,Monopoly (1933),5111,296.0,3275,33,26097,27675,164,2584,343,13,18,1586,192,34,2017-11,14653,1.82643,20587,744607,20587
Monopoly Rules,20,60,8,99,2,8,0.10050251256281408,0.016666666666666666,0.375,1.0,0.16666666666666666,0.08080808080808081,4.40734,4.41,1.6816,4.35101,4.351,Monopoly (1933),5111,296.0,3275,33,26097,27675,164,2584,343,13,18,1586,192,34,2017-11,14653,1.82643,20587,744607,20587
Monopoly Rules,20,60,8,99,2,8,0.10050251256281408,0.016666666666666666,0.375,1.0,0.16666666666666666,0.08080808080808081,4.40734,4.41,1.6816,4.35101,4.351,Monopoly (1933),5111,296.0,3275,33,26097,27675,164,2584,343,13,18,1586,192,34,2017-11,14653,1.82643,20587,744607,20587
Monopoly Rules,20,60,8,99,2,8,0.10050251256281408,0.016666666666666666,0.375,1.0,0.16666666666666666,0.08080808080808081,4.40734,4.41,1.6816,4.35101,4.351,Monopoly (1933),5111,296.0,3275,33,26097,27675,164,2584,343,13,18,1586,192,34,2017-11,14653,1.82643,20587,744607,20587
Monopoly Rules,20,60,8,99,2,8,0.10050251256281408,0.016666666666666666,0.375,1.0,0.16666666666666666,0.08080808080808081,4.40734,4.41,1.6816,4.35101,4.351,Monopoly (1933),5111,296.0,3275,33,26097,27675,164,2584,343,13,18,1586,192,34,2017-11,14653,1.82643,20587,744607,20587
Hamburgum Rules,35,90,12,99,2,5,0.17587939698492466,0.025,0.625,1.0,0.16666666666666666,0.0505050505050505,7.07306,7.07,3.0824,6.66633,6.666,Hamburgum (2007),883,37.0,1094,2,3016,4495,12,570,109,205,0,364,597,80,2017-11,653,1.18165,2853,191392,2853
Money Bags Rules,15,20,7,9,2,4,0.07537688442211055,0.005555555555555557,0.3125,0.05263157894736842,0.16666666666666666,0.040404040404040414,4.32613,4.33,1,0,N/A,Money Bags,6,0.0,11,0,42,8,0,3,3,0,0,1,2,0,2017-11,N/A,2.2646,8,5054,8
Domination Rules,15,30,8,99,2,4,0.07537688442211055,0.008333333333333333,0.375,1.0,0.16666666666666666,0.040404040404040414,6.97222,6.97,2.5294,6.01908,6.019,Kaosball: The Fantasy Sport of Total Domination (2014),195,139.0,353,1,1424,1105,8,190,106,60,0,34,316,23,2017-11,1955,1.5622,577,180994,577
Bonnie & Clyde Rules,20,60,8,99,2,4,0.10050251256281408,0.016666666666666666,0.375,1.0,0.16666666666666666,0.040404040404040414,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Questions Rules,25,30,8,99,3,4,0.12562814070351758,0.008333333333333333,0.375,1.0,0.3333333333333333,0.040404040404040414,5.63073,5.63,1.3396,5.52632,5.526,20 Questions (1988),159,2.0,191,1,860,1199,3,107,39,0,2,53,15,3,2017-11,9848,1.62855,522,69630,522
Easy Money Rules,15,45,9,99,2,4,0.07537688442211055,0.0125,0.4375,1.0,0.16666666666666666,0.040404040404040414,4.95021,4.95,1.4444,5.40337,5.403,Easy Money (1935),99,0.0,205,2,502,75,0,88,47,0,1,18,6,1,2017-11,14307,1.6995,188,46010,188
Easy Money Rules,15,45,9,99,2,4,0.07537688442211055,0.0125,0.4375,1.0,0.16666666666666666,0.040404040404040414,4.95021,4.95,1.4444,5.40337,5.403,Easy Money (1935),99,0.0,205,2,502,75,0,88,47,0,1,18,6,1,2017-11,14307,1.6995,188,46010,188
Loaded Questions Rules,10,45,16,99,3,6,0.05025125628140704,0.0125,0.875,1.0,0.3333333333333333,0.060606060606060615,5.94218,5.94,1.3,5.66246,5.662,Loaded Questions (1997),253,21.0,227,0,1720,1022,5,109,98,3,3,60,40,8,2017-11,4466,1.65037,815,70535,815
Loaded Questions Rules,10,45,16,99,3,6,0.05025125628140704,0.0125,0.875,1.0,0.3333333333333333,0.060606060606060615,5.94218,5.94,1.3,5.66246,5.662,Loaded Questions (1997),253,21.0,227,0,1720,1022,5,109,98,3,3,60,40,8,2017-11,4466,1.65037,815,70535,815
Loaded Questions Rules,10,45,16,99,3,6,0.05025125628140704,0.0125,0.875,1.0,0.3333333333333333,0.060606060606060615,5.94218,5.94,1.3,5.66246,5.662,Loaded Questions (1997),253,21.0,227,0,1720,1022,5,109,98,3,3,60,40,8,2017-11,4466,1.65037,815,70535,815
Loaded Questions Rules,10,45,16,99,3,6,0.05025125628140704,0.0125,0.875,1.0,0.3333333333333333,0.060606060606060615,5.94218,5.94,1.3,5.66246,5.662,Loaded Questions (1997),253,21.0,227,0,1720,1022,5,109,98,3,3,60,40,8,2017-11,4466,1.65037,815,70535,815
Loaded Questions Rules,10,45,16,99,3,6,0.05025125628140704,0.0125,0.875,1.0,0.3333333333333333,0.060606060606060615,5.94218,5.94,1.3,5.66246,5.662,Loaded Questions (1997),253,21.0,227,0,1720,1022,5,109,98,3,3,60,40,8,2017-11,4466,1.65037,815,70535,815
Outlaws Rules,21,15,12,99,2,2,0.10552763819095476,0.0041666666666666675,0.625,1.0,0.16666666666666666,0.020202020202020204,7.90909,7.91,2,0,N/A,Outlaws: Adventures in the Old West (2010),23,26.0,35,0,67,18,0,5,2,4,2,5,43,14,2017-11,N/A,1.00721,22,33513,22
Celtica Rules,32,60,10,99,2,5,0.16080402010050251,0.016666666666666666,0.5,1.0,0.16666666666666666,0.0505050505050505,5.58132,5.58,1.4479,5.5282,5.528,Celtica (2006),269,6.0,330,0,837,1260,0,152,64,27,0,96,104,16,2017-11,9693,1.49623,679,66178,679
Caylus Rules,50,90,12,99,2,5,0.25125628140703515,0.025,0.625,1.0,0.16666666666666666,0.0505050505050505,7.84484,7.84,3.8185,7.70441,7.704,Caylus (2005),5551,1012.0,6116,9,22925,56137,134,2265,418,1002,9,3009,4866,520,2017-11,41,1.47671,22667,1641230,22667
Caylus Rules,50,90,12,99,2,5,0.25125628140703515,0.025,0.625,1.0,0.16666666666666666,0.0505050505050505,7.84484,7.84,3.8185,7.70441,7.704,Caylus (2005),5551,1012.0,6116,9,22925,56137,134,2265,418,1002,9,3009,4866,520,2017-11,41,1.47671,22667,1641230,22667
A Castle For All Seasons Rules,45,60,10,99,2,4,0.2261306532663317,0.016666666666666666,0.5,1.0,0.16666666666666666,0.040404040404040414,6.76675,6.77,2.7985,6.41563,6.416,A Castle for All Seasons (2008),818,68.0,1213,2,2983,4789,11,749,162,141,3,273,489,98,2017-11,995,1.18581,2717,218544,2717
Shrek 2 Twisted Fairy Tale Rules,23,30,6,99,2,4,0.11557788944723618,0.008333333333333333,0.25,1.0,0.16666666666666666,0.040404040404040414,4.18182,4.18,1,0,N/A,Shrek 2: The Twisted Fairy Tale Game (2004),5,0.0,19,0,27,63,0,3,2,0,1,2,2,0,2017-11,N/A,1.89824,11,10320,11
